address,symbol,name,decimals,tokenType
0x4946fcea7c692606e8908002e55a582af44ac121,FOAM,FOAM Token,18,ERC20
0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,MATIC,Matic Token,18,ERC20
0xaea46a60368a7bd060eec7df8cba43b7ef41ad85,FET,Fetch,18,ERC20
0xc944e90c64b2c07662a292be6244bdf05cda44a7,GRT,Graph Token,18,ERC20
0xfc0d6cf33e38bce7ca7d89c0e292274031b7157a,NTVRK,NETVRK,18,ERC20
0xe485e2f1bab389c08721b291f6b59780fec83fd7,SHU,Shutter Token,18,ERC20
0xb1f1ee126e9c96231cc3d3fad7c08b4cf873b1f1,BIFI,Beefy,18,ERC20
0x26ea1f595f6567b7050fbba24f6a66e19db4d560,APE$,APE Punk,18,ERC20
0x30d20208d987713f46dfd34ef128bb16c404d10f,SD,Stader,18,ERC20
0x73d7c860998ca3c01ce8c808f5577d94d545d1b4,IXS,Ixs Token,18,ERC20
0x88df592f8eb5d7bd38bfef7deb0fbc02cf3778a0,TRB,Tellor Tributes,18,ERC20
0xa71d0588eaf47f12b13cf8ec750430d21df04974,QOM,Shiba Predator,18,ERC20
0xa8c8cfb141a3bb59fea1e2ea6b79b5ecbcd7b6ca,NOIA,NOIA Token,18,ERC20
0x40a9a694197a0b4b92f2aad48da6bc1b6ff194e9,@LFG,@LFG,18,ERC20
0x15e6e0d4ebeac120f9a97e71faa6a0235b85ed12,SAVM,SatoshiVM,18,ERC20
0x6602e9319f2c5ec0ba31ffcdc4301d7ef03b709e,wBRGE,Wrapped-BRGE,18,ERC20
0x6e2a43be0b1d33b726f0ca3b8de60b3482b8b050,ARKM,Arkham,18,ERC20
0x00c5ca160a968f47e7272a0cfcda36428f386cb6,USDEBT,USDEBT,18,ERC20
0x9559aaa82d9649c7a7b220e7c461d2e74c9a3593,rETH,StaFi,18,ERC20
0xbdab72602e9ad40fc6a6852caf43258113b8f7a5,eSOV,eSOV,18,ERC20
0xf3768d6e78e65fc64b8f12ffc824452130bd5394,KEROSENE,Kerosene,18,ERC20
0x826180541412d574cf1336d22c0c0a287822678a,FLIP,Chainflip,18,ERC20
0x1e228d662486b7deb6a39305b122677b26016155,KUROMI,Kuromi Special,18,ERC20
0x2d94aa3e47d9d5024503ca8491fce9a2fb4da198,BANK,Bankless Token,18,ERC20
0xa62cc35625b0c8dc1faea39d33625bb4c15bd71c,STMX,StormX,18,ERC20
0xf4308b0263723b121056938c2172868e408079d0,CRYO,CryoDAO,18,ERC20
0x3d806324b6df5af3c1a81acba14a8a62fe6d643f,SOLANA,BarbieCrashBandicootRFK888Inu,18,ERC20
0x43a96962254855f16b925556f9e97be436a43448,HORD,HORD Token,18,ERC20
0x9f52c8ecbee10e00d9faaac5ee9ba0ff6550f511,SIPHER,Sipher Token,18,ERC20
0xa1290d69c65a6fe4df752f95823fae25cb99e5a7,rsETH,rsETH,18,ERC20
0x4b520c812e8430659fc9f12f6d0c39026c83588d,DG,Decentral Games,18,ERC20
0xa8b919680258d369114910511cc87595aec0be6d,LYXe,LUKSO Token,18,ERC20
0xd084944d3c05cd115c09d072b9f44ba3e0e45921,FOLD,Manifold Finance,18,ERC20
